ID,SKU,Name before fix,Name via Formula,Weight (lbs),Regular price,Brand,Product Type,Model
13792,008-030-0045,Tri-Tronics 17301,Tri-Tronics Fiber Optic Kit SER D-036649-000,5,,Tri-Tronics,Fiber Optic Kit,SER D-036649-000
16876,022-012-0302,SunX SF4-AH12-N Light Sensor,SUNX Light Curtain SF4-AH12-N D | SF4-AH12-N P,4,,SUNX,Light Curtain,SF4-AH12-N D | SF4-AH12-N P
16920,022-012-0289,SunX SF4-AH24-N Light Sensor,SUNX Light Curtain SF4-AH24-N D | SF4-AH24-N P,4,,SUNX,Light Curtain,SF4-AH24-N D | SF4-AH24-N P
16872,022-012-0166,SunX SF4-AH32 Light Sensor,SUNX Light Sensor SF4-AH32 D,4,,SUNX,Light Sensor,SF4-AH32 D
16589,031-004-0042,Yaskawa SGDB-10AN,Yaskawa Servopack SGDB-10AN,12,,Yaskawa,Servopack,SGDB-10AN
16587,031-004-0044,Yaskawa SGDB-30ANY8 Servopack,Yaskawa Servopack SGDB-30ANY8,18,,Yaskawa,Servopack,SGDB-30ANY8
16943,019-004-0250,Yaskawa SGMAH-02A1A2S,Yaskawa AC Servo Motor SGMAH-02A1A2S,35,,Yaskawa,AC Servo Motor,SGMAH-02A1A2S
37681,019-004-0248,Servo Motor SGMAH-08A1AJ12C,Yaskawa Servo Motor SGMAH-08A1AJ12C,,,Yaskawa,Servo Motor,SGMAH-08A1AJ12C
37683,219-004-0248,Servo Motor SGMAH-08A1AJ12C,Yaskawa Servo Motor SGMAH-08A1AJ12C,,,Yaskawa,Servo Motor,SGMAH-08A1AJ12C
16590,019-004-0214,Yaskawa SGMGH-05A2A21,Yaskawa AC Servo Motor SGMGH-05A2A21,17,,Yaskawa,AC Servo Motor,SGMGH-05A2A21
10432,019-004-0225,Mitsubishi AC Servo Motor SGMGH-06A2B2E,Yaskawa Motor SGMGH-06A2B2E,27,,Yaskawa,Motor,SGMGH-06A2B2E
16592,019-004-0290,Yaskawa SGMAH-08A1A2S Motor,Yaskawa AC Servo Motor SGMGH-08A1A2S,12,,Yaskawa,AC Servo Motor,SGMGH-08A1A2S
16591,019-004-0221,Yaskawa SGMGH-09A2B2S,Yaskawa AC Servo Motor SGMGH-09A2B2S,25,,Yaskawa,AC Servo Motor,SGMGH-09A2B2S
17407,019-004-0187,Yaskawa SGMGH-55A2A21,Yaskawa AC Servo Motor SGMGH-55A2A21,80,,Yaskawa,AC Servo Motor,SGMGH-55A2A21
16586,019-004-0213,Yaskawa SGMPH-04A1A2C0,Yaskawa AC Servo Motor SGMPH-04A1A2C,9,,Yaskawa,AC Servo Motor,SGMPH-04A1A2C
16588,019-004-0226,Yaskawa SGMPH-15A1A2E,Yaskawa AC Servo Motor SGMPH-15A1A2E,22,,Yaskawa,AC Servo Motor,SGMPH-15A1A2E
16593,019-004-0293,Yaskawa SGMSH-20A2A2E,Yaskawa AC Servo Motor SGMSH-20A2A2E,25,,Yaskawa,AC Servo Motor,SGMSH-20A2A2E
16930,219-004-0264,Yaskawa SGMSH-40A2A21 Motor,Yaskawa AC Servo Motor SGMSH-40A2A21,40,,Yaskawa,AC Servo Motor,SGMSH-40A2A21
16594,019-004-0264,Yaskawa SGMSH-40A2A21 Motor,Yaskawa AC Servo Motor SGMSH-40A2A21,40,,Yaskawa,AC Servo Motor,SGMSH-40A2A21
16908,022-007-0244,SH04.22A Relay,EEC Controls Relay/Socket SH04.22A,2,,EEC Controls,Relay/Socket,SH04.22A
16927,014-004-0577,THK M-2045473-292 Linear BRG,THK Linear Bearing SHW14CA1QZUUC1M+356LMS,4,,THK,Linear Bearing,SHW14CA1QZUUC1M+356LMS
19510,039-003-3034,SMC SKB83X160-DB-M,PHD Cylinder SKB83x160-DB-M,18,,PHD,Cylinder,SKB83x160-DB-M
37690,231-001-0717,Schmersal SLB400-C10-1R Control,Schmersal Safety Controller SLB400-C10-1R,3,,Schmersal,Safety Controller,SLB400-C10-1R
39357,014-004-0482,THK Linear Brg SRS15WGMSSC1+750LM,THK Linear Bearing SRS15WGMSSC1+750LM,1,,THK,Linear Bearing,SRS15WGMSSC1+750LM
39356,014-004-0531,THK Linear Brg SRS15WGMSSC1+790LM,THK Linear Bearing SRS15WGMSSC1+790LM,1,,THK,Linear Bearing,SRS15WGMSSC1+790LM
13834,014-004-0494,THK SSSR15XV1SSME+400 Bearing,THK Linear Bearing SSSR15XV1SSME+400LYMS,3,,THK,Linear Bearing,SSSR15XV1SSME+400LYMS
22764,005-001-0271,Honeywell ST7800 Timer,Honeywell Purge Timer ST7800 A 1104,1,,Honeywell,Purge Timer,ST7800 A 1104
22712,005-026-0060,VS Technology SV-GA305 Photographic Accessories,VS Technology Lens Protector SV-GA305,1,,VS Technology,Lens Protector,SV-GA305
13812,014-012-0022,Nippon TA252OZ,Nippon Bearing TA252OZ,1,,Nippon,Bearing,TA252OZ
13811,014-012-0141,Nippon TAFI61612 Bearing,Nippon Bearing TAFI61612,1,,Nippon,Bearing,TAFI61612
18152,002-042-0006,Tokyo Keiki DGMFN-3-X-A2W-B2W-41J,Tokyo Keiki Restrictor Valve TGMFN-3-X-A2W-B2W-50,4,,Tokyo Keiki,Restrictor Valve,TGMFN-3-X-A2W-B2W-50
13816,014-011-0501,TSB0608N1494AP Ballscrew,Parker Ballscrew TSB0608N1494AP,1,,Parker,Ballscrew,TSB0608N1494AP
18172,002-001-0499,IHI U12R,IHI Valve U-12R,4,,IHI,Valve,U-12R
13802,014-013-0003,FYH UC213 Bearing,FYH Bearing UC213AMI,6,,FYH,Bearing,UC213AMI
18102,014-003-0008,FYH UCF-209-E,FYH Bearing UCF-209-E,5,,FYH,Bearing,UCF-209-E
13836,068-731-0001,UJD-046 Torch,Torch UJD-046,2,,-,Torch,UJD-046
13829,068-526-0010,SMC US13228,Piston Rod US13228,1,,-,Piston Rod,US13228
18107,002-034-0004,Honeywell V5055C-1059,Honeywell Gas Valve V5055C1059,6,,Honeywell,Gas Valve,V5055C1059
16572,MFG-000-1456,ASCO Redhat Kit V6379,ASCO Rebuild Kit V6379,2,,ASCO,Rebuild Kit,V6379
18141,002-001-0446,SMC VFS3600-5FZ,SMC Solenoid Valve VFS3600-5FZ,4,,SMC,Solenoid Valve,VFS3600-5FZ
16922,019-001-0454,Grundfos VM3613T-P Motor,Grundfos Motor VM3613T-P,65,,Grundfos,Motor,VM3613T-P
16598,019-002-0114,IDEC VRSF-5E-4000,IDECVRSF-5E-4000,28,,IDEC,-,VRSF-5E-4000
18142,002-038-0062,SMC VV2102-C6-02DS3Z-FD3,SMC MFLD ASSY VV2102-C6-02DS3Z-FD3,5,,SMC,MFLD ASSY,VV2102-C6-02DS3Z-FD3
18143,002-038-0063,SMC VV2105-C6-02DS3Z-FD3,SMC MFLD ASSY VV2105-C6-02DS3Z-FD3,7,,SMC,MFLD ASSY,VV2105-C6-02DS3Z-FD3
18144,002-016-0003,SMC VVFS2000-R-01-1,SMC Individual Exhaust Spacer VVFS2000-R-01-1,2,,SMC,Individual Exhaust Spacer,VVFS2000-R-01-1
17393,002-007-0382,SMC VVQ4000-R-1-03,SMC Exhaust Relocation Block VVQ4000-R-1-03,3,,SMC,Exhaust Relocation Block,VVQ4000-R-1-03
18195,002-038-0073,SMC VVQ4105C8MP04DS5Z,SMCVVQ4105C8MP04DS5Z,16,,SMC,-,VVQ4105C8MP04DS5Z
7707,002-001-0427,VX2340V-03N-5DZ1-B,SMC Solenoid Valve VX2340V-03N-5DZ1,2,,SMC,Solenoid Valve,VX2340V-03N-5DZ1
18194,002-001-0464,SMC VX3244,SMC Solenoid Valve VX3244,3,,SMC,Solenoid Valve,VX3244
18145,002-007-0194,SMC VZ51405DZ02,SMC Solenoid Base VZ5140-5DZ-02,2,,SMC,Solenoid Base,VZ5140-5DZ-02
18147,003-025-0022,SMC ZPT10DU-A5,SMC Vacuum Pad ZPT10DU-A5,1,,SMC,Vacuum Pad,ZPT10DU-A5
22759,008-025-0001,SMC EZM121HF-K5LZ-E15 Vacuum Generator,SMC Vacuum Pressure Switch ZSE1-00-15L,3,,SMC,Vacuum Pressure Switch,ZSE1-00-15L
16887,003-002-0034,SMC ZZM-SA,SMC Silencer Assembly ZZM-SA,1,,SMC,Silencer Assembly,ZZM-SA
13794,022-039-0163,7435,7435,3,,-,-,7435
16882,036-615-0069,#114 Plate,Plate 4T498025,1,,-,Plate,4T498025
16881,036-615-0067,#213,Block 3T496013,1,,-,Block,3T496013
16883,036-615-0071,#901,Bar HYP505H SN40138,1,,-,Bar,HYP505H SN40138
18214,003-005-0016,07021106 Hose Barb,Hose Barb 7021106,1,,-,Hose Barb,7021106
18233,013-001-0288,075L0067EF Belt,Belt 075L0067EF,2,,-,Belt,075L0067EF
18230,013-001-0436,100L608EF Belt,Belt 100L608EF,3,,-,Belt,100L608EF
18232,013-001-0457,150H75EF Belt,Belt 150-H-0075E-F,2,,-,Belt,150-H-0075E-F
16897,068-608-0010,200026 Plate,Plate 200026,1,,-,Plate,200026
16896,068-608-0009,200028 Plate,Plate 200028,1,,-,Plate,200028
18220,011-870-0006,201467 Clamp Mount,Clamp Mount 201467,2,,-,Clamp Mount,201467
18229,011-870-0007,201468A Cap,Cap 201468A,1,,-,Cap,201468A
18209,011-870-0008,201469 Shaft,Shaft 201469,1,,-,Shaft,201469
18115,014-001-0446,2133 Bearing,Bearing 2133,1,,-,Bearing,2133
18231,002-011-0051,222130025 Check Valve,Check Valve 222130025,,,-,Check Valve,222130025
18219,002-010-0004,270016003 Globe Valve,Globe Valve 270016003,4,,-,Globe Valve,270016003
18226,003-014-0041,30140041 Nut,Nut 30140041,1,,-,Nut,30140041
18216,013-001-0196,420P5M15 Belt,Belt 420P5M15,1,,-,Belt,420P5M15
13783,014-011-0415,53-26 Ballscrew,Ballscrew 53-26,2,,-,Ballscrew,53-26
18206,003-027-0015,72for300L Cap,Cap 72for300L,2,,-,Cap,72for300L
18236,013-001-0399,856P8M15 Belt,Belt 856P8M15,2,,-,Belt,856P8M15
18217,011-870-0010,90032-00 Retainer,Denso Retainer 90032-00,1,,Denso,Retainer,90032-00
18212,003-003-0246,Ace Controls Floating Joint FJRBSCBH30L35D20,Ace Controls Joint 126-0002,1,,Ace Controls,Joint,126-0002
22657,416-001-0006,Arrow Filter Kit EK9052,Arrow Pneumatics Filter Kit EK9052,1,,Arrow Pneumatics,Filter Kit,EK9052
18237,013-001-0499,AT10500136 Belt,Belt AT10 500 136,3,,-,Belt,AT10 500 136
18234,013-001-0432,B100S3M327 Timing Belt,Belt S3M327,1,,-,Belt,S3M327
18091,008-003-0070,BARKSDALE C9622-3,Barksdale Pressure Actuated Switch C9622-3,5,,Barksdale,Pressure Actuated Switch,C9622-3
17418,060-001-0273,Bearing MN-12-20,Bearings MN-12-20,3,,-,Bearings,MN-12-20
13788,078-586-0018,Bracket H-586-40-04,Bracket H-586-40-04,5,,-,Bracket,H-586-40-04
18227,003-023-0002,Brass Bushing,Bushing 18RH,1,,-,Bushing,18RH
13790,014-006-0277,Bushing Brass SOB-08-12-08,Bushing SOB-08-12-08,1,,-,Bushing,SOB-08-12-08
13791,014-006-0249,Bushing GUG60055,Bushing GUG60055,1,,-,Bushing,GUG60055
13789,014-006-0379,Bushing KAO3484A_511,Bushing KAO3484A_511,2,,-,Bushing,KAO3484A_511
18164,010-001-0125,Buss 46F064,Cartridge Fuse 46F064,1,,-,Cartridge Fuse,46F064
22613,022-038-0030,CCXC-12P10 Cable,Cable CCXC-12P10,5,,-,Cable,CCXC-12P10
13793,015-001-0243,CHE60-90 Chain,Chain CHE60-90,15,,-,Chain,CHE60-90
13795,468-562-0001,Connector 39900-002,Connector 39900-002,1,,-,Connector,39900-002
13796,466-532-0001,Connector 7283-9028-30,Connector 7283-9028-30,1,,-,Connector,7283-9028-30
13797,466-532-0002,Connector 7283-9078-80,Connector 7283-9078-80,1,,-,Connector,7283-9078-80
17404,015-002-0103,Connector Links 8981009767,Connectors 8981009767,2,,-,Connectors,8981009767
18126,005-017-0059,Connectors 7400000000,Connector 7400000000,1,,-,Connector,7400000000
1449,MFG-000-0061,D&amp;D PowerDrive 600-S14M-1806 Timing Belt,Timing Belt 600S14M1806,2,,-,Timing Belt,600S14M1806
18165,014-001-0345,Denso 646OK31,Denso646OK31,2,,Denso,-,646OK31
18097,007-010-0174,Eaton Corporation Weatherhead 06U-L66,Eaton Weatherhead Fitting 06UL66,1,,Eaton,Weatherhead Fitting,06UL66
18098,007-010-0169,Eaton Corporation Weatherhead 06U-S66,Eaton Weatherhead Fitting 06US66,1,,Eaton,Weatherhead Fitting,06US66
18099,007-010-0170,Eaton Corporation Weatherhead 08U-S68,Eaton Weatherhead Fitting 08US68,1,,Eaton,Weatherhead Fitting,08US68
22815,002-015-0027,Edwards E104A,Edwards Valve SS-G03-H13-R-D2-J8916A,1,,Edwards,Valve,SS-G03-H13-R-D2-J8916A
18204,005-005-0461,EP180 Module,Sigmatek Module EP180,1,,Sigmatek,Module,EP180
18235,013-003-0841,FNI5E Conv Belt,Edwards Conveyor Belt FNI5E,3,,Edwards,Conveyor Belt,FNI5E
22678,016-004-0324,GBC 3000003 Laminating Film,GBC Laminating Film 3000003,7,,GBC,Laminating Film,3000003
18238,004-002-0054,GDS40SG1 Flow Meter,Flow Meter GDS40SG1,15,,-,Flow Meter,GDS40SG1
18104,003-005-0011,GENERAL ELECTRIC C20,Hose Barb C-20,1,,-,Hose Barb,C-20
18218,005-014-0107,HH54PL Relay,Relay HH54PL,2,,-,Relay,HH54PL
13803,462-574-0003,HOLDER JX-121-06B,SankiJX-121-06B,1,,Sanki,-,JX-121-06B
17405,017-058-0002,Hopper Body MVH-20,Hopper MVH-20,21,,-,Hopper,MVH-20
13804,014-012-0100,INA Needle Bearing SCH1612,INA Bearing SCH1612,1,,INA,Bearing,SCH1612
19511,020-325-0001,Irie Koken VP1100B,Irie Koken Belt Clamp VP1100B,9,,Irie Koken,Belt Clamp,VP1100B
13806,005-026-0034,Lens SV-1214MP-SS,Lens SV-1214MP-SS,1,,-,Lens,SV-1214MP-SS
13801,006-006-0018,Light Fixture T1322,Light Fixture T1322,8,,-,Light Fixture,T1322
16917,030-003-0006,Quad Ring Wire 5MMx5MMx8M,Quadring Ring Wire 5MMX5MMX8M,3,,-,Quadring Ring Wire,5MMX5MMX8M
18128,002-042-0007,SMC ASN2-03-S,SMC Metering Valve ASN2-03-S,1,,SMC,Metering Valve,ASN2-03-S
18129,003-001-0265,SMC B310T,Bracket B310T,1,,-,Bracket,B310T
18133,003-004-0069,SMC KFH12U-04,SMC Fitting KFH12U-04,1,,SMC,Fitting,KFH12U-04
18134,003-015-0049,SMC KFY06-03,SMC Fitting KFY06-03,2,,SMC,Fitting,KFY06-03
18137,003-007-0077,SMC KT-VEX1333,SMC Kit KT-VEX1333,1,,SMC,Kit,KT-VEX1333
18140,003-001-0089,SMC NAR110,SMC Air Regulator NAR110,2,,SMC,Air Regulator,NAR110
18146,003-025-0016,SMC ZPT10DN-B6,SMC Vacuum Pad ZPT10DN-B6,1,,SMC,Vacuum Pad,ZPT10DN-B6
13832,028-001-0332,Sprocket 40B14-SPRCIAL S.S,Sprocket 40B14-SPRCIAL S.S,3,,-,Sprocket,40B14-SPRCIAL S.S
18150,003-020-0047,Swagelok SS-6-PST,Swagelok Hex Head Plug SS6PST,1,,Swagelok,Hex Head Plug,SS6PST
16898,068-608-0011,Tail Plate 200025,Plate 200025,1,,-,Plate,200025
17400,014-005-0093,Thrust Washer FWSJJ-28-V10-T3,Washer FWSJJ-28-V10-T3,1,,-,Washer,FWSJJ-28-V10-T3
17403,015-002-0041,Tsubaki C2080AS,Tsubaki Roller Chain C2080AS,25,,Tsubaki,Roller Chain,C2080AS
18221,002-046-0002,VB721300046 Valve,Valve VB721300046,4,,-,Valve,VB721300046
18210,002-038-0016,VS71AO2 Manifold,Manifolds VS71AO2,2,,-,Manifolds,VS71AO2
13808,014-004-0629,LKD SR15V2UU+180LII Linear BRG,LKD Linear Bearing SR15V2UU+180LII,3,,LKD,Linear Bearing,SR15V2UU+180LII
18177,005-019-0011,Mitsubishi 4100770010,Mitsubishi4100770010,1,,Mitsubishi,-,4100770010
22642,231-001-0255,Mitsubishi AD71-REPAIR Control Unit,Mitsubishi Control Unit AD71-REPAIR,3,,Mitsubishi,Control Unit,AD71-REPAIR
16902,014-003-0114,NTN PFL204 Bearing,NTN Bearing PFL204,2,,NTN,Bearing,PFL204
13817,068-526-0009,Piston Rod US13227,SMC Piston Rod US13227,1,,SMC,Piston Rod,US13227
